throneroom1;;;;;;;throneroom1;;;;;
ParticipantID;TimeSpentOnAddActions;TimeSpentOnAllChangeActions;TimeSpentOnManualChangeActions;TimeSpentOnAutomatedChangeActions;TimeSpentOnRemoveActions;;ParticipantID;TimeSpentOnAddActions;TimeSpentOnAllChangeActions;TimeSpentOnManualChangeActions;TimeSpentOnAutomatedChangeActions;TimeSpentOnRemoveActions
1;932875996;0;0;0;0;;1;93.2875996;0;0;0;0
2;1304559663;537415754;537415754;0;0;;2;130.4559663;53.7415754;53.7415754;0;0
3;3226245142;120004773;120004773;0;0;;3;322.6245142;12.0004773;12.0004773;0;0
4;1380888891;0;0;0;0;;4;138.0888891;0;0;0;0
5;861573255;0;0;0;0;;5;86.1573255;0;0;0;0
6;735797082;0;0;0;0;;6;73.5797082;0;0;0;0
7;1311972397;771741905;771741905;0;0;;7;131.1972397;77.1741905;77.1741905;0;0
8;1045183391;1973292597;1973292597;0;0;;8;104.5183391;197.3292597;197.3292597;0;0
9;2250705232;859797551;859797551;521137637;0;;9;225.0705232;85.9797551;85.9797551;52.1137637;0
10;906140279;897720437;897720437;0;0;;10;90.6140279;89.7720437;89.7720437;0;0
11;3049514827;2139418152;2007139517;132278635;0;;11;304.9514827;213.9418152;200.7139517;13.2278635;0
12;2538261084;244661645;244661645;265175532;0;;12;253.8261084;24.4661645;24.4661645;26.5175532;0
13;2147582524;3136072944;3136072944;0;108737080;;13;214.7582524;313.6072944;313.6072944;0;10.873708
;;;;;;;;;;;;
bedroomprincess1;;;;;;;bedroomprincess1;;;;;
ParticipantID;TimeSpentOnAddActions;TimeSpentOnAllChangeActions;TimeSpentOnManualChangeActions;TimeSpentOnAutomatedChangeActions;TimeSpentOnRemoveActions;;ParticipantID;TimeSpentOnAddActions;TimeSpentOnAllChangeActions;TimeSpentOnManualChangeActions;TimeSpentOnAutomatedChangeActions;TimeSpentOnRemoveActions
1;551860163;268962224;268962224;0;0;;1;55.1860163;26.8962224;26.8962224;0;0
2;877949791;0;0;0;0;;2;87.7949791;0;0;0;0
3;5110435314;789868779;789868779;0;0;;3;511.0435314;78.9868779;78.9868779;0;0
4;0;0;0;0;0;;4;0;0;0;0;0
5;856827332;0;0;0;0;;5;85.6827332;0;0;0;0
6;458302092;388339837;388339837;0;0;;6;45.8302092;38.8339837;38.8339837;0;0
7;1283459120;287918622;287918622;0;0;;7;128.345912;28.7918622;28.7918622;0;0
8;1802241168;1089209631;1089209631;0;0;;8;180.2241168;108.9209631;108.9209631;0;0
9;2740212218;623753028;623753028;0;0;;9;274.0212218;62.3753028;62.3753028;0;0
10;727574069;0;0;0;0;;10;72.7574069;0;0;0;0
11;2801466865;880027321;880027321;0;0;;11;280.1466865;88.0027321;88.0027321;0;0
12;2021708890;0;0;0;0;;12;202.170889;0;0;0;0
13;5667684196;622855681;622855681;0;173586835;;13;566.7684196;62.2855681;62.2855681;0;17.3586835
;;;;;;;;;;;;
prison1;;;;;;;prison1;;;;;
ParticipantID;TimeSpentOnAddActions;TimeSpentOnAllChangeActions;TimeSpentOnManualChangeActions;TimeSpentOnAutomatedChangeActions;TimeSpentOnRemoveActions;;ParticipantID;TimeSpentOnAddActions;TimeSpentOnAllChangeActions;TimeSpentOnManualChangeActions;TimeSpentOnAutomatedChangeActions;TimeSpentOnRemoveActions
1;1663762150;711327405;711327405;0;537800984;;1;166.376215;71.1327405;71.1327405;0;53.7800984
2;1068589202;229529964;229529964;0;472639636;;2;106.8589202;22.9529964;22.9529964;0;47.2639636
3;2143714290;746431537;746431537;0;0;;3;214.371429;74.6431537;74.6431537;0;0
4;0;0;0;0;0;;4;0;0;0;0;0
5;886936856;449920029;449920029;0;701239500;;5;88.6936856;44.9920029;44.9920029;0;70.12395
6;1318720473;2264245165;2264245165;0;525828977;;6;131.8720473;226.4245165;226.4245165;0;52.5828977
7;2187953063;481343413;481343413;0;377622701;;7;218.7953063;48.1343413;48.1343413;0;37.7622701
8;913319383;470734684;470734684;0;0;;8;91.3319383;47.0734684;47.0734684;0;0
9;1545745541;731983138;731983138;0;443497717;;9;154.5745541;73.1983138;73.1983138;0;44.3497717
10;684260592;364674562;364674562;0;149465463;;10;68.4260592;36.4674562;36.4674562;0;14.9465463
11;1282293298;491413833;491413833;0;208565351;;11;128.2293298;49.1413833;49.1413833;0;20.8565351
12;2155752735;630187226;630187226;0;809972363;;12;215.5752735;63.0187226;63.0187226;0;80.9972363
13;4909839784;682816000;682816000;0;117946887;;13;490.9839784;68.2816;68.2816;0;11.7946887
;;;;;;;;;;;;
corridor1;;;;;;;corridor1;;;;;
ParticipantID;TimeSpentOnAddActions;TimeSpentOnAllChangeActions;TimeSpentOnManualChangeActions;TimeSpentOnAutomatedChangeActions;TimeSpentOnRemoveActions;;ParticipantID;TimeSpentOnAddActions;TimeSpentOnAllChangeActions;TimeSpentOnManualChangeActions;TimeSpentOnAutomatedChangeActions;TimeSpentOnRemoveActions
1;1667217892;637901218;0;941617153;0;;1;166.7217892;63.7901218;0;94.1617153;0
2;2580872917;810148262;312507978;497640284;0;;2;258.0872917;81.0148262;31.2507978;49.7640284;0
3;1651292891;714900502;0;714900502;0;;3;165.1292891;71.4900502;0;71.4900502;0
4;1209741101;235607623;169526724;66080899;0;;4;120.9741101;23.5607623;16.9526724;6.6080899;0
5;3048815635;848408724;0;848408724;0;;5;304.8815635;84.8408724;0;84.8408724;0
6;1864493293;324389853;0;1356330942;0;;6;186.4493293;32.4389853;0;135.6330942;0
7;3535547435;229578442;229578442;603678706;0;;7;353.5547435;22.9578442;22.9578442;60.3678706;0
8;1020819150;309742529;309742529;0;0;;8;102.081915;30.9742529;30.9742529;0;0
9;1762810693;581090796;0;581090796;0;;9;176.2810693;58.1090796;0;58.1090796;0
10;2183227929;0;0;488730987;0;;10;218.3227929;0;0;48.8730987;0
11;2426838081;891452004;350782501;669171865;0;;11;242.6838081;89.1452004;35.0782501;66.9171865;0
12;3156047921;2285975905;794031384;1491944521;0;;12;315.6047921;228.5975905;79.4031384;149.1944521;0
13;3564903874;1791091611;1791091611;694214242;165851906;;13;356.4903874;179.1091611;179.1091611;69.4214242;16.5851906
